Species,CommonName,Order,IUCN_Status,HabitatGeneralistSpecialist,Nest_Location_>1,Nest_Structure_>1,General_Nesting_Location,General_Nesting_Structure,Nesting_On_Artificial,Nest_Elevation_Min,Nest_Elevation_Max,Urban_Nester_YN,Urban_Forager_YN,AcceptsProvisions_YN,Urban_NestMortality,Exurban_NestMortality,Urban_RangeSize,Exurban_RangeSize,Urban_Primary_Diet,Exurban_Primary_Diet
Gymnogyps californianus,California Condor,Cathartiformes,CR,,,,,,,,,,,,,,,,,
Sarcoramphus papa,King Vulture,Cathartiformes,LC,,,,,,,,,,,,,,,,,
Vultur gryphus,Andean Condor,Cathartiformes,VU,,,,,,,,,,,,,,,,,
Coragyps atratus,Black Vulture,Cathartiformes,LC,,,,,,,,,,,,,,,,,
Cathartes aura,Turkey Vulture,Cathartiformes,LC,,,,,,,,,,,,,,,,,
Cathartes burrovianus,Lesser Yellow-headed Vulture,Cathartiformes,LC,,,,,,,,,,,,,,,,,
Cathartes melambrotus,Greater Yellow-headed Vulture,Cathartiformes,LC,,,,,,,,,,,,,,,,,
Sagittarius serpentarius,Secretarybird,Accipitriformes,EN,,,,,,,,,,,,,,,,,
Pandion haliaetus,Osprey,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Gampsonyx swainsonii,Pearl Kite,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Chelictinia riocourii,Scissor-tailed Kite,Accipitriformes,VU,,,,,,,,,,,,,,,,,
Elanus leucurus,White-tailed Kite,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Elanus caeruleus,Black-winged Kite,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Elanus axillaris,Black-shouldered Kite,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Elanus scriptus,Letter-winged Kite,Accipitriformes,NT,,,,,,,,,,,,,,,,,
Polyboroides typus,African Harrier-Hawk,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Polyboroides radiatus,Madagascar Harrier-Hawk,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Gypohierax angolensis,Palm-nut Vulture,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Gypaetus barbatus,Bearded Vulture,Accipitriformes,NT,,,,,,,,,,,,,,,,,
Neophron percnopterus,Egyptian Vulture,Accipitriformes,EN,,,,,,,,,,,,,,,,,
Eutriorchis astur,Madagascar Serpent-Eagle,Accipitriformes,EN,,,,,,,,,,,,,,,,,
Chondrohierax uncinatus,Hook-billed Kite,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Chondrohierax wilsonii,Cuban Kite,Accipitriformes,CR,,,,,,,,,,,,,,,,,
Leptodon cayanensis,Gray-headed Kite,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Leptodon forbesi,White-collared Kite,Accipitriformes,EN,,,,,,,,,,,,,,,,,
Aviceda cuculoides,African Cuckoo-Hawk,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Aviceda madagascariensis,Madagascar Cuckoo-Hawk,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Aviceda jerdoni,Jerdon's Baza,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Aviceda subcristata,Pacific Baza,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Aviceda leuphotes,Black Baza,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Pernis apivorus,European Honey-buzzard,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Pernis ptilorhynchus,Oriental Honey-buzzard,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Pernis celebensis,Sulawesi Honey-buzzard,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Pernis steerei,Philippine Honey-buzzard,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Elanoides forficatus,Swallow-tailed Kite,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Hamirostra melanosternon,Black-breasted Kite,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Lophoictinia isura,Square-tailed Kite,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Henicopernis longicauda,Long-tailed Honey-buzzard,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Henicopernis infuscatus,Black Honey-buzzard,Accipitriformes,VU,,,,,,,,,,,,,,,,,
Sarcogyps calvus,Red-headed Vulture,Accipitriformes,CR,,,,,,,,,,,,,,,,,
Trigonoceps occipitalis,White-headed Vulture,Accipitriformes,CR,,,,,,,,,,,,,,,,,
Aegypius monachus,Cinereous Vulture,Accipitriformes,NT,,,,,,,,,,,,,,,,,
Torgos tracheliotos,Lappet-faced Vulture,Accipitriformes,EN,,,,,,,,,,,,,,,,,
Necrosyrtes monachus,Hooded Vulture,Accipitriformes,CR,,,,,,,,,,,,,,,,,
Gyps himalayensis,Himalayan Griffon,Accipitriformes,NT,,,,,,,,,,,,,,,,,
Gyps bengalensis,White-rumped Vulture,Accipitriformes,CR,,,,,,,,,,,,,,,,,
Gyps africanus,White-backed Vulture,Accipitriformes,CR,,,,,,,,,,,,,,,,,
Gyps indicus,Indian Vulture,Accipitriformes,CR,,,,,,,,,,,,,,,,,
Gyps tenuirostris,Slender-billed Vulture,Accipitriformes,CR,,,,,,,,,,,,,,,,,
Gyps coprotheres,Cape Griffon,Accipitriformes,VU,,,,,,,,,,,,,,,,,
Gyps rueppelli,Rüppell's Griffon,Accipitriformes,CR,,,,,,,,,,,,,,,,,
Gyps fulvus,Eurasian Griffon,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Spilornis klossi,Nicobar Serpent-Eagle,Accipitriformes,EN,,,,,,,,,,,,,,,,,
Spilornis rufipectus,Sulawesi Serpent-Eagle,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Spilornis kinabaluensis,Mountain Serpent-Eagle,Accipitriformes,NT,,,,,,,,,,,,,,,,,
Spilornis cheela,Crested Serpent-Eagle,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Spilornis holospilus,Philippine Serpent-Eagle,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Spilornis elgini,Andaman Serpent-Eagle,Accipitriformes,VU,,,,,,,,,,,,,,,,,
Pithecophaga jefferyi,Philippine Eagle,Accipitriformes,CR,,,,,,,,,,,,,,,,,
Terathopius ecaudatus,Bateleur,Accipitriformes,EN,,,,,,,,,,,,,,,,,
Circaetus cinerascens,Western Banded Snake-Eagle,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Circaetus fasciolatus,Southern Banded Snake-Eagle,Accipitriformes,NT,,,,,,,,,,,,,,,,,
Circaetus spectabilis,Congo Snake-Eagle,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Circaetus beaudouini,Beaudouin's Snake-Eagle,Accipitriformes,VU,,,,,,,,,,,,,,,,,
Circaetus pectoralis,Black-chested Snake-Eagle,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Circaetus gallicus,Short-toed Snake-Eagle,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Circaetus cinereus,Brown Snake-Eagle,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Stephanoaetus coronatus,Crowned Eagle,Accipitriformes,NT,,,,,,,,,,,,,,,,,
Nisaetus nanus,Wallace's Hawk-Eagle,Accipitriformes,VU,,,,,,,,,,,,,,,,,
Nisaetus kelaarti,Legge's Hawk-Eagle,Accipitriformes,,,,,,,,,,,,,,,,,,
Nisaetus nipalensis,Mountain Hawk-Eagle,Accipitriformes,,,,,,,,,,,,,,,,,,
Nisaetus alboniger,Blyth's Hawk-Eagle,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Nisaetus bartelsi,Javan Hawk-Eagle,Accipitriformes,EN,,,,,,,,,,,,,,,,,
Nisaetus lanceolatus,Sulawesi Hawk-Eagle,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Nisaetus pinskeri,Pinsker's Hawk-Eagle,Accipitriformes,EN,,,,,,,,,,,,,,,,,
Nisaetus philippensis,Philippine Hawk-Eagle,Accipitriformes,EN,,,,,,,,,,,,,,,,,
Nisaetus cirrhatus,Changeable Hawk-Eagle,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Nisaetus floris,Flores Hawk-Eagle,Accipitriformes,EN,,,,,,,,,,,,,,,,,
Spizaetus tyrannus,Black Hawk-Eagle,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Spizaetus melanoleucus,Black-and-white Hawk-Eagle,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Spizaetus ornatus,Ornate Hawk-Eagle,Accipitriformes,NT,,,,,,,,,,,,,,,,,
Spizaetus isidori,Black-and-chestnut Eagle,Accipitriformes,EN,,,,,,,,,,,,,,,,,
Lophotriorchis kienerii,Rufous-bellied Eagle,Accipitriformes,NT,,,,,,,,,,,,,,,,,
Polemaetus bellicosus,Martial Eagle,Accipitriformes,EN,,,,,,,,,,,,,,,,,
Lophaetus occipitalis,Long-crested Eagle,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Ictinaetus malaiensis,Black Eagle,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Clanga hastata,Indian Spotted Eagle,Accipitriformes,NT,,,,,,,,,,,,,,,,,
Clanga pomarina,Lesser Spotted Eagle,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Clanga clanga,Greater Spotted Eagle,Accipitriformes,VU,,,,,,,,,,,,,,,,,
Hieraaetus wahlbergi,Wahlberg's Eagle,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Hieraaetus ayresii,Ayres's Hawk-Eagle,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Hieraaetus weiskei,Pygmy Eagle,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Hieraaetus pennatus,Booted Eagle,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Hieraaetus morphnoides,Little Eagle,Accipitriformes,LC,,,,,,,,,,,,,,,,,
Aquila nipalensis,Steppe Eagle,Accipitriformes,EN,,,,,,,,,,,,,,,,,
Aquila heliaca,Imperial Eagle,Accipitriformes,VU,,,,,,,,,,,,,,,,,
Aquila adalberti,Spanish Eagle,Accipitriformes,VU,,,,,,,,,,,,,,,,,
